G2V	RVS_T05750G45P00V000K2SNWNVRVSF	
8439.6643      8780.2676
5510	3.65782E-09
5515	3.69423E-09
5520	3.73114E-09
5525	3.66046E-09
5530	3.61396E-09
5535	3.6526E-09
5540	3.68248E-09
5545	3.71317E-09
5550	3.75992E-09
5555	3.72438E-09
5560	3.66556E-09
5565	3.62995E-09
5570	3.57836E-09
5575	3.6166E-09
5580	3.64152E-09
5585	3.52842E-09
5590	3.45354E-09
5595	3.49335E-09
5600	3.51483E-09
5605	3.60049E-09
5610	3.68146E-09
5615	3.57727E-09
5620	3.54652E-09
5625	3.60023E-09
5630	3.64042E-09
5635	3.62646E-09
5640	3.60749E-09
5645	3.63129E-09
5650	3.64317E-09
5655	3.56099E-09
5660	3.50691E-09
5665	3.55301E-09
5670	3.61544E-09
5675	3.6347E-09
5680	3.59416E-09
5685	3.5461E-09
5690	3.57135E-09
5695	3.60613E-09
5700	3.57729E-09
5705	3.49617E-09
5710	3.43658E-09
5715	3.52262E-09
5720	3.62574E-09
5725	3.66612E-09
5730	3.65735E-09
5735	3.65274E-09
5740	3.64811E-09
5745	3.61833E-09
5750	3.5792E-09
5755	3.54986E-09
5760	3.55916E-09
5765	3.59092E-09
5770	3.62305E-09
5775	3.59811E-09
5780	3.53075E-09
5785	3.51383E-09
5790	3.55219E-09
5795	3.57961E-09
5800	3.60256E-09
5805	3.60263E-09
5810	3.59219E-09
5815	3.60562E-09
5820	3.6247E-09
5825	3.6317E-09
5830	3.63455E-09
5835	3.63111E-09
5840	3.64742E-09
5845	3.6217E-09
5850	3.56855E-09
5855	3.5019E-09
5860	3.49809E-09
5865	3.54399E-09
5870	3.59412E-09
5875	3.60695E-09
5880	3.55841E-09
5885	3.39918E-09
5890	3.1976E-09
5895	3.21122E-09
5900	3.39884E-09
5905	3.51111E-09
5910	3.50569E-09
5915	3.49263E-09
5920	3.50166E-09
5925	3.48385E-09
5930	3.46363E-09
5935	3.49248E-09
5940	3.49671E-09
5945	3.4634E-09
5950	3.43135E-09
5955	3.45438E-09
5960	3.47382E-09
5965	3.47657E-09
5970	3.47069E-09
5975	3.43926E-09
5980	3.42028E-09
5985	3.39584E-09
5990	3.41131E-09
5995	3.43659E-09
6000	3.41794E-09
6005	3.38046E-09
6010	3.36905E-09
6015	3.34826E-09
6020	3.32322E-09
6025	3.34793E-09
6030	3.39982E-09
6035	3.42847E-09
6040	3.42046E-09
6045	3.4289E-09
6050	3.42383E-09
6055	3.41346E-09
6060	3.40139E-09
6065	3.40241E-09
6070	3.42701E-09
6075	3.40396E-09
6080	3.35181E-09
6085	3.34857E-09
6090	3.34156E-09
6095	3.33071E-09
6100	3.30141E-09
6105	3.31887E-09
6110	3.35923E-09
6115	3.33621E-09
6120	3.29695E-09
6125	3.31583E-09
6130	3.31859E-09
6135	3.24881E-09
6140	3.24416E-09
6145	3.2949E-09
6150	3.30856E-09
6155	3.2723E-09
6160	3.18505E-09
6165	3.15993E-09
6170	3.20781E-09
6175	3.27691E-09
6180	3.31791E-09
6185	3.30173E-09
6190	3.26403E-09
6195	3.29318E-09
6200	3.33452E-09
6205	3.34273E-09
6210	3.3086E-09
6215	3.26633E-09
6220	3.25916E-09
6225	3.26835E-09
6230	3.23073E-09
6235	3.23039E-09
6240	3.23667E-09
6245	3.21253E-09
6250	3.20415E-09
6255	3.17394E-09
6260	3.19769E-09
6265	3.22556E-09
6270	3.25191E-09
6275	3.21054E-09
6280	3.16296E-09
6285	3.22477E-09
6290	3.24305E-09
6295	3.20846E-09
6300	3.16383E-09
6305	3.19167E-09
6310	3.20322E-09
6315	3.15839E-09
6320	3.16545E-09
6325	3.21468E-09
6330	3.22426E-09
6335	3.17926E-09
6340	3.17277E-09
6345	3.20359E-09
6350	3.2196E-09
6355	3.18976E-09
6360	3.14874E-09
6365	3.16154E-09
6370	3.20574E-09
6375	3.21467E-09
6380	3.19979E-09
6385	3.20012E-09
6390	3.18871E-09
6395	3.15179E-09
6400	3.1398E-09
6405	3.13874E-09
6410	3.12182E-09
6415	3.12637E-09
6420	3.12759E-09
6425	3.15535E-09
6430	3.1552E-09
6435	3.14284E-09
6440	3.1492E-09
6445	3.1643E-09
6450	3.13427E-09
6455	3.12021E-09
6460	3.10156E-09
6465	3.10325E-09
6470	3.11995E-09
6475	3.12325E-09
6480	3.12402E-09
6485	3.1229E-09
6490	3.06719E-09
6495	2.98464E-09
6500	3.05123E-09
6505	3.12628E-09
6510	3.14947E-09
6515	3.11474E-09
6520	3.10221E-09
6525	3.11025E-09
6530	3.11226E-09
6535	3.10855E-09
6540	3.09251E-09
6545	3.06166E-09
6550	3.00497E-09
6555	2.83303E-09
6560	2.51338E-09
6565	2.58181E-09
6570	2.8635E-09
6575	2.99658E-09
6580	3.04971E-09
6585	3.04814E-09
6590	3.02469E-09
6595	3.02261E-09
6600	3.06156E-09
6605	3.04562E-09
6610	3.04574E-09
6615	3.06416E-09
6620	3.07201E-09
6625	3.05432E-09
6630	3.01543E-09
6635	3.00186E-09
6640	3.01565E-09
6645	3.01845E-09
6650	3.03374E-09
6655	3.03393E-09
6660	3.0109E-09
6665	3.00002E-09
6670	3.01203E-09
6675	2.98867E-09
6680	2.98313E-09
6685	3.00564E-09
6690	3.00885E-09
6695	2.99138E-09
6700	2.98259E-09
6705	2.98255E-09
6710	2.97912E-09
6715	2.94932E-09
6720	2.94341E-09
6725	2.96098E-09
6730	2.9686E-09
6735	2.97227E-09
6740	2.96843E-09
6745	2.95995E-09
6750	2.94997E-09
6755	2.95626E-09
6760	2.96184E-09
6765	2.9474E-09
6770	2.93209E-09
6775	2.94499E-09
6780	2.95087E-09
6785	2.94823E-09
6790	2.94958E-09
6795	2.93798E-09
6800	2.93644E-09
6805	2.92644E-09
6810	2.93019E-09
6815	2.93478E-09
6820	2.93085E-09
6825	2.9308E-09
6830	2.92155E-09
6835	2.905E-09
6840	2.88806E-09
6845	2.88417E-09
6850	2.89126E-09
6855	2.88556E-09
6860	2.88152E-09
6865	2.88906E-09
6870	2.88602E-09
6875	2.89001E-09
6880	2.88943E-09
6885	2.87948E-09
6890	2.87921E-09
6895	2.88043E-09
6900	2.88111E-09
6905	2.88196E-09
6910	2.87903E-09
6915	2.86845E-09
6920	2.86469E-09
6925	2.86888E-09
6930	2.86953E-09
6935	2.87255E-09
6940	2.86763E-09
6945	2.85948E-09
6950	2.86056E-09
6955	2.86121E-09
6960	2.8643E-09
6965	2.87074E-09
6970	2.87194E-09
6975	2.84067E-09
6980	2.83049E-09
6985	2.85467E-09
6990	2.85134E-09
6995	2.84341E-09
7000	2.81693E-09
7005	2.79522E-09
7010	2.80606E-09
7015	2.78524E-09
7020	2.78996E-09
7025	2.78742E-09
7030	2.80688E-09
7035	2.79767E-09
7040	2.81283E-09
7045	2.84369E-09
7050	2.83113E-09
7055	2.8091E-09
7060	2.80211E-09
7065	2.79663E-09
7070	2.80494E-09
7075	2.81763E-09
7080	2.8064E-09
7085	2.77673E-09
7090	2.77654E-09
7095	2.79607E-09
7100	2.81207E-09
7105	2.80857E-09
7110	2.78841E-09
7115	2.78023E-09
7120	2.78581E-09
7125	2.77806E-09
7130	2.77564E-09
7135	2.79749E-09
7140	2.81606E-09
7145	2.77662E-09
7150	2.75425E-09
7155	2.78549E-09
7160	2.7747E-09
7165	2.71311E-09
7170	2.69865E-09
7175	2.67185E-09
7180	2.64366E-09
7185	2.5639E-09
7190	2.53903E-09
7195	2.57181E-09
7200	2.59822E-09
7205	2.61761E-09
7210	2.67893E-09
7215	2.73203E-09
7220	2.73154E-09
7225	2.72924E-09
7230	2.71349E-09
7235	2.66089E-09
7240	2.65429E-09
7245	2.66537E-09
7250	2.67799E-09
7255	2.66207E-09
7260	2.66592E-09
7265	2.66441E-09
7270	2.66511E-09
7275	2.62158E-09
7280	2.61552E-09
7285	2.60369E-09
7290	2.55931E-09
7295	2.60067E-09
7300	2.64667E-09
7305	2.6129E-09
7310	2.60382E-09
7315	2.6403E-09
7320	2.65519E-09
7325	2.63875E-09
7330	2.62767E-09
7335	2.65191E-09
7340	2.68081E-09
7345	2.66878E-09
7350	2.63605E-09
7355	2.6152E-09
7360	2.62317E-09
7365	2.62554E-09
7370	2.63598E-09
7375	2.64023E-09
7380	2.629E-09
7385	2.56656E-09
7390	2.53546E-09
7395	2.57108E-09
7400	2.5899E-09
7405	2.58363E-09
7410	2.54695E-09
7415	2.53833E-09
7420	2.55247E-09
7425	2.59074E-09
7430	2.62481E-09
7435	2.63407E-09
7440	2.60799E-09
7445	2.57537E-09
7450	2.59313E-09
7455	2.61607E-09
7460	2.60796E-09
7465	2.61533E-09
7470	2.62983E-09
7475	2.61475E-09
7480	2.5998E-09
7485	2.59657E-09
7490	2.57953E-09
