#   xsum       ysum
#
7703.7266   0.8571 
7703.8806   0.8400 
7704.0347   0.8680 
7704.1887   0.8948 
7704.3429   0.9025 
7704.4970   0.8946 
7704.6511   0.8552 
7704.8050   0.7775 
7704.9592   0.7174 
7705.1133   0.7298 
7705.2674   0.7781 
7705.4215   0.8233 
7705.5756   0.8570 
7705.7297   0.8613 
7705.8839   0.8463 
7706.0379   0.8327 
7706.1921   0.8243 
7706.3462   0.8336 
7706.5003   0.8525 
7706.6544   0.8538 
7706.8087   0.8346 
7706.9628   0.8278 
7707.1169   0.8485 
7707.2710   0.8633 
7707.4252   0.8460 
7707.5793   0.8371 
7707.7335   0.8562 
7707.8876   0.8647 
7708.0417   0.8656 
7708.1961   0.8578 
7708.3501   0.8414 
7708.5043   0.8475 
7708.6585   0.8472 
7708.8127   0.8289 
7708.9668   0.8257 
7709.1210   0.8304 
7709.2752   0.8408 
7709.4294   0.8623 
7709.5835   0.8766 
7709.7378   0.8573 
7709.8919   0.7811 
7710.0461   0.6671 
7710.2004   0.5685 
7710.3545   0.5547 
7710.5088   0.6723 
7710.6630   0.8182 
7710.8172   0.8804 
7710.9714   0.8763 
7711.1257   0.8585 
7711.2798   0.8364 
7711.4341   0.7945 
7711.5883   0.7624 
7711.7425   0.7974 
7711.8968   0.8708 
7712.0510   0.9095 
7712.2053   0.8955 
7712.3595   0.8313 
7712.5138   0.7272 
7712.6680   0.6603 
7712.8223   0.6934 
7712.9765   0.7538 
7713.1308   0.7937 
7713.2850   0.8316 
7713.4393   0.8506 
7713.5936   0.8389 
7713.7478   0.8333 
7713.9022   0.8329 
7714.0564   0.7394 
7714.2107   0.5586 
7714.3650   0.5061 
7714.5193   0.6465 
7714.6736   0.7946 
7714.8278   0.8568 
7714.9821   0.8714 
7715.1365   0.8669 
7715.2908   0.8540 
7715.4451   0.8299 
7715.5993   0.8007 
7715.7537   0.7993 
7715.9081   0.8155 
7716.0624   0.8249 
7716.2166   0.8392 
7716.3710   0.8578 
7716.5253   0.8675 
7716.6797   0.8759 
7716.8339   0.8858 
7716.9883   0.8870 
7717.1427   0.8812 
7717.2970   0.8757 
7717.4514   0.8722 
7717.6058   0.8708 
7717.7600   0.8754 
7717.9144   0.8704 
7718.0688   0.8449 
7718.2231   0.8310 
7718.3775   0.8518 
7718.5319   0.8697 
7718.6862   0.8377 
7718.8406   0.7810 
7718.9950   0.7617 
7719.1494   0.8022 
7719.3037   0.8515 
7719.4581   0.8738 
7719.6126   0.8832 
7719.7670   0.8807 
7719.9213   0.8691 
7720.0758   0.8422 
7720.2301   0.8238 
7720.3845   0.8288 
7720.5389   0.7994 
7720.6934   0.7643 
7720.8478   0.7953 
7721.0022   0.8572 
7721.1566   0.9010 
7721.3111   0.9228 
7721.4655   0.9220 
7721.6198   0.8848 
7721.7743   0.8353 
7721.9288   0.8287 
7722.0832   0.8507 
7722.2376   0.8434 
7722.3921   0.7837 
7722.5466   0.7108 
7722.7010   0.7000 
7722.8555   0.7064 
7723.0098   0.6375 
7723.1644   0.5554 
7723.3188   0.6096 
7723.4733   0.7579 
7723.6279   0.8486 
7723.7822   0.8536 
7723.9367   0.8328 
7724.0912   0.8206 
7724.2457   0.8148 
7724.4002   0.8257 
7724.5548   0.8416 
7724.7090   0.8082 
7724.8636   0.6961 
7725.0182   0.5991 
7725.1726   0.6494 
7725.3272   0.7822 
7725.4817   0.8686 
7725.6363   0.8846 
7725.7906   0.8677 
7725.9452   0.8388 
7726.0997   0.8220 
7726.2542   0.8528 
7726.4088   0.8995 
7726.5634   0.9038 
7726.7178   0.8851 
7726.8725   0.8851 
7727.0268   0.8823 
7727.1814   0.8492 
7727.3360   0.7639 
7727.4905   0.6224 
7727.6451   0.5684 
7727.7997   0.6899 
7727.9542   0.8189 
7728.1088   0.8364 
7728.2634   0.8207 
7728.4179   0.8415 
7728.5725   0.8805 
7728.7271   0.9178 
7728.8818   0.9394 
7729.0361   0.9323 
7729.1907   0.9043 
7729.3453   0.8639 
7729.4999   0.8091 
7729.6545   0.7783 
7729.8091   0.8124 
7729.9637   0.8514 
7730.1183   0.8362 
7730.2728   0.8289 
7730.4275   0.8674 
7730.5821   0.8981 
7730.7367   0.9097 
7730.8914   0.9193 
7731.0460   0.9117 
7731.2006   0.8815 
7731.3552   0.8552 
7731.5099   0.8678 
7731.6645   0.8986 
7731.8191   0.9021 
7731.9737   0.8926 
7732.1283   0.8806 
7732.2830   0.8572 
7732.4377   0.8471 
7732.5923   0.8654 
7732.7470   0.8990 
7732.9016   0.9204 
7733.0562   0.9101 
7733.2109   0.8790 
7733.3658   0.8275 
7733.5204   0.7392 
7733.6751   0.6912 
7733.8296   0.7527 
7733.9845   0.8435 
7734.1391   0.8797 
7734.2937   0.8746 
7734.4484   0.8630 
7734.6031   0.8635 
7734.7577   0.8570 
7734.9125   0.8369 
7735.0671   0.8460 
7735.2218   0.8714 
7735.3767   0.8703 
7735.5313   0.8590 
7735.6861   0.8723 
7735.8407   0.8940 
7735.9955   0.9022 
7736.1501   0.9084 
7736.3049   0.9088 
7736.4595   0.8753 
7736.6144   0.8401 
7736.7691   0.8530 
7736.9239   0.8871 
7737.0786   0.9062 
7737.2333   0.8838 
7737.3880   0.8351 
7737.5427   0.8079 
7737.6976   0.8129 
7737.8523   0.8445 
7738.0071   0.8864 
7738.1619   0.9227 
7738.3166   0.9349 
7738.4714   0.9094 
7738.6262   0.8576 
7738.7810   0.8282 
7738.9357   0.8522 
7739.0904   0.8839 
7739.2452   0.8901 
7739.4001   0.8981 
7739.5549   0.9126 
7739.7096   0.9070 
7739.8644   0.8800 
7740.0192   0.8543 
7740.1741   0.8604 
7740.3289   0.8982 
7740.4836   0.9183 
7740.6384   0.9028 
7740.7933   0.8709 
7740.9481   0.8240 
7741.1029   0.7695 
7741.2577   0.7600 
7741.4125   0.8185 
7741.5674   0.8867 
7741.7222   0.9131 
7741.8770   0.9023 
7742.0320   0.8949 
7742.1867   0.9138 
7742.3416   0.9091 
7742.4963   0.8252 
7742.6514   0.7203 
7742.8062   0.7189 
7742.9609   0.7645 
7743.1159   0.7566 
7743.2707   0.7655 
7743.4256   0.8239 
7743.5804   0.8641 
7743.7354   0.8692 
7743.8902   0.8669 
7744.0451   0.8560 
7744.2000   0.8525 
7744.3548   0.8828 
7744.5097   0.9056 
7744.6647   0.8928 
7744.8195   0.8599 
7744.9744   0.8152 
7745.1294   0.7579 
7745.2842   0.7133 
7745.4391   0.7050 
7745.5941   0.7460 
7745.7489   0.8123 
7745.9038   0.8437 
7746.0588   0.7894 
7746.2137   0.6439 
7746.3686   0.5439 
7746.5236   0.6058 
7746.6784   0.7469 
7746.8335   0.8459 
7746.9883   0.8635 
7747.1433   0.8479 
7747.2982   0.8591 
7747.4531   0.8815 
7747.6082   0.8884 
7747.7630   0.8690 
7747.9181   0.7923 
7748.0730   0.6269 
7748.2279   0.4871 
7748.3830   0.5372 
7748.5379   0.6524 
7748.6929   0.6302 
7748.8479   0.5622 
7749.0028   0.6156 
7749.1579   0.7318 
7749.3127   0.7884 
7749.4678   0.7800 
7749.6227   0.7534 
7749.7779   0.7299 
7749.9327   0.7284 
7750.0878   0.7572 
7750.2428   0.7917 
7750.3978   0.8241 
7750.5528   0.8398 
7750.7077   0.8169 
7750.8628   0.7467 
7751.0178   0.6602 
7751.1729   0.6391 
7751.3279   0.7081 
7751.4829   0.7960 
7751.6379   0.8434 
7751.7930   0.8595 
7751.9480   0.8759 
7752.1030   0.8898 
7752.2580   0.8872 
7752.4131   0.8764 
7752.5683   0.8689 
7752.7232   0.8508 
7752.8783   0.7962 
7753.0333   0.7141 
7753.1884   0.6792 
7753.3435   0.7225 
7753.4986   0.7967 
7753.6536   0.8407 
7753.8087   0.8545 
7753.9638   0.8762 
7754.1189   0.8877 
7754.2739   0.8789 
7754.4290   0.8798 
7754.5841   0.8874 
7754.7393   0.8746 
7754.8943   0.8453 
7755.0495   0.8054 
7755.2045   0.7799 
7755.3597   0.7919 
7755.5147   0.8102 
7755.6698   0.8315 
7755.8250   0.8700 
7755.9801   0.8965 
7756.1352   0.9043 
7756.2903   0.8976 
7756.4455   0.8645 
7756.6006   0.8305 
7756.7557   0.8356 
7756.9109   0.8615 
7757.0660   0.8653 
7757.2211   0.8517 
7757.3763   0.8443 
7757.5314   0.8452 
7757.6866   0.8447 
7757.8417   0.8346 
7757.9969   0.8258 
7758.1521   0.8389 
7758.3072   0.8553 
7758.4624   0.8559 
7758.6175   0.8583 
7758.7728   0.8675 
7758.9279   0.8726 
7759.0830   0.8460 
7759.2382   0.7938 
7759.3935   0.7819 
7759.5486   0.8020 
7759.7039   0.8067 
7759.8591   0.8023 
7760.0142   0.8019 
7760.1694   0.8108 
7760.3246   0.8199 
7760.4799   0.8185 
7760.6351   0.8356 
7760.7903   0.8759 
7760.9455   0.8952 
7761.1007   0.8935 
7761.2559   0.8983 
7761.4111   0.9017 
7761.5664   0.8962 
7761.7216   0.8756 
7761.8768   0.8321 
7762.0321   0.8025 
7762.1873   0.8131 
7762.3426   0.8419 
7762.4978   0.8707 
7762.6531   0.8722 
7762.8084   0.8443 
7762.9636   0.8327 
7763.1188   0.8484 
7763.2741   0.8674 
7763.4294   0.8939 
7763.5847   0.9013 
7763.7399   0.8620 
7763.8952   0.8275 
7764.0505   0.8370 
7764.2058   0.8546 
7764.3611   0.8517 
7764.5163   0.8273 
7764.6716   0.8163 
7764.8270   0.8489 
7764.9822   0.8876 
7765.1376   0.8823 
7765.2929   0.8485 
7765.4482   0.8296 
7765.6035   0.8128 
7765.7588   0.7933 
7765.9141   0.8135 
7766.0694   0.8639 
7766.2247   0.8863 
7766.3800   0.8654 
7766.5354   0.8309 
7766.6907   0.8214 
7766.8461   0.8585 
7767.0013   0.8962 
7767.1568   0.8535 
7767.3121   0.7045 
7767.4674   0.5950 
7767.6227   0.6622 
7767.7781   0.7815 
7767.9334   0.8420 
7768.0888   0.8729 
7768.2442   0.8919 
7768.3995   0.8975 
7768.5549   0.8756 
7768.7103   0.8457 
7768.8657   0.8420 
7769.0210   0.8476 
7769.1764   0.8487 
7769.3319   0.8540 
7769.4872   0.8635 
7769.6426   0.8571 
7769.7980   0.8282 
7769.9534   0.7988 
7770.1088   0.7586 
7770.2641   0.7370 
7770.4197   0.7918 
7770.5750   0.8502 
7770.7304   0.8595 
7770.8858   0.8500 
7771.0413   0.8324 
7771.1967   0.7976 
7771.3521   0.7720 
7771.5076   0.7828 
7771.6630   0.7903 
7771.8184   0.7870 
7771.9739   0.8102 
7772.1293   0.8477 
7772.2847   0.8752 
7772.4402   0.8773 
7772.5956   0.8599 
7772.7511   0.8662 
7772.9065   0.8889 
7773.0620   0.8925 
7773.2175   0.8728 
7773.3728   0.8452 
7773.5285   0.8282 
7773.6838   0.8127 
7773.8394   0.7911 
7773.9948   0.7935 
7774.1503   0.8287 
7774.3058   0.8641 
7774.4613   0.8716 
7774.6167   0.8571 
7774.7723   0.8555 
7774.9277   0.8833 
7775.0833   0.9107 
7775.2387   0.8993 
7775.3943   0.8597 
7775.5497   0.8215 
7775.7053   0.8012 
7775.8607   0.8180 
7776.0163   0.8519 
7776.1719   0.8661 
7776.3272   0.8661 
7776.4829   0.8595 
7776.6385   0.8589 
7776.7939   0.8860 
7776.9495   0.9147 
7777.1051   0.9160 
7777.2605   0.8951 
7777.4161   0.8680 
7777.5718   0.8527 
7777.7272   0.8521 
7777.8828   0.8627 
7778.0384   0.8819 
7778.1940   0.8978 
7778.3493   0.9005 
7778.5050   0.8876 
7778.6607   0.8685 
7778.8163   0.8447 
7778.9717   0.8345 
7779.1272   0.8598 
7779.2829   0.8893 
7779.4385   0.8941 
7779.5942   0.8940 
7779.7498   0.8952 
7779.9052   0.8866 
