#   xsum       ysum
#
7762.4978   0.2673 
7762.6531   0.2698 
7762.8084   0.2459 
7762.9636   0.2409 
7763.1188   0.2554 
7763.2741   0.2779 
7763.4294   0.3230 
7763.5847   0.3441 
7763.7399   0.2940 
7763.8952   0.2381 
7764.0505   0.2309 
7764.2058   0.2458 
7764.3611   0.2590 
7764.5163   0.2572 
7764.6716   0.2597 
7764.8270   0.2891 
7764.9822   0.3125 
7765.1376   0.2925 
7765.2929   0.2516 
7765.4482   0.2403 
7765.6035   0.2400 
7765.7588   0.2316 
7765.9141   0.2640 
7766.0694   0.3435 
7766.2247   0.3759 
7766.3800   0.3235 
7766.5354   0.2613 
7766.6907   0.2439 
7766.8461   0.2849 
7767.0013   0.3430 
7767.1568   0.3456 
7767.3121   0.2894 
7767.4674   0.2289 
7767.6227   0.2070 
7767.7781   0.2158 
7767.9334   0.2432 
7768.0888   0.2818 
7768.2442   0.3138 
7768.3995   0.3381 
7768.5549   0.3190 
7768.7103   0.2668 
7768.8657   0.2383 
7769.0210   0.2299 
7769.1764   0.2290 
7769.3319   0.2418 
7769.4872   0.2650 
7769.6426   0.2653 
7769.7980   0.2362 
7769.9534   0.2258 
7770.1088   0.2542 
7770.2641   0.3034 
7770.4197   0.3286 
7770.5750   0.2996 
7770.7304   0.2588 
7770.8858   0.2473 
7771.0413   0.2620 
7771.1967   0.2748 
7771.3521   0.2728 
7771.5076   0.2693 
7771.6630   0.2514 
7771.8184   0.2293 
7771.9739   0.2330 
7772.1293   0.2561 
7772.2847   0.2948 
7772.4402   0.3289 
7772.5956   0.3175 
7772.7511   0.2915 
7772.9065   0.2904 
7773.0620   0.2914 
7773.2175   0.2690 
7773.3728   0.2371 
7773.5285   0.2207 
7773.6838   0.2227 
7773.8394   0.2337 
7773.9948   0.2473 
7774.1503   0.2660 
7774.3058   0.2822 
7774.4613   0.2776 
7774.6167   0.2565 
7774.7723   0.2556 
7774.9277   0.3013 
7775.0833   0.3526 
7775.2387   0.3452 
7775.3943   0.2973 
7775.5497   0.2613 
7775.7053   0.2462 
7775.8607   0.2440 
7776.0163   0.2458 
7776.1719   0.2464 
7776.3272   0.2493 
7776.4829   0.2476 
7776.6385   0.2539 
7776.7939   0.2948 
7776.9495   0.3345 
7777.1051   0.3302 
7777.2605   0.2940 
7777.4161   0.2554 
7777.5718   0.2343 
7777.7272   0.2322 
7777.8828   0.2432 
7778.0384   0.2620 
7778.1940   0.2829 
7778.3493   0.2990 
7778.5050   0.2877 
7778.6607   0.2572 
7778.8163   0.2305 
7778.9717   0.2258 
7779.1272   0.2536 
7779.2829   0.2796 
7779.4385   0.2785 
7779.5942   0.2752 
7779.7498   0.2756 
7779.9052   0.2703 
7780.0608   0.2806 
7780.2164   0.2940 
7780.3721   0.2900 
7780.5277   0.3017 
7780.6834   0.3133 
7780.8390   0.2862 
7780.9946   0.2449 
7781.1503   0.2328 
7781.3059   0.2688 
7781.4615   0.3079 
7781.6172   0.2984 
7781.7728   0.2877 
7781.9285   0.3133 
7782.0841   0.3538 
7782.2397   0.3538 
7782.3954   0.3010 
7782.5510   0.2555 
7782.7067   0.2311 
7782.8623   0.2154 
7783.0180   0.2188 
7783.1736   0.2302 
7783.3292   0.2331 
7783.4849   0.2262 
7783.6405   0.2121 
7783.7962   0.2035 
7783.9518   0.2070 
7784.1076   0.2113 
7784.2634   0.2232 
7784.4190   0.2575 
7784.5747   0.2834 
7784.7303   0.2665 
7784.8859   0.2426 
7785.0417   0.2541 
7785.1975   0.2875 
7785.3531   0.3023 
7785.5088   0.2851 
7785.6645   0.2557 
