#   xsum       ysum
#
7783.1324   0.6001 
7783.3548   0.6136 
7783.5772   0.5706 
7783.7995   0.5264 
7784.0220   0.5432 
7784.2444   0.5700 
7784.4668   0.6558 
7784.6892   0.6685 
7784.9116   0.6137 
7785.1341   0.6727 
7785.3565   0.7291 
7785.5789   0.6766 
7785.8014   0.6190 
7786.0238   0.6137 
7786.2463   0.6148 
7786.4687   0.6156 
7786.6913   0.6115 
7786.9137   0.5922 
7787.1362   0.6172 
7787.3587   0.6509 
7787.5812   0.6647 
7787.8037   0.7144 
7788.0262   0.6847 
7788.2487   0.6493 
7788.4712   0.6685 
7788.6938   0.5975 
7788.9163   0.4953 
7789.1388   0.5431 
7789.3614   0.6077 
7789.5840   0.6133 
7789.8066   0.6568 
7790.0291   0.6919 
7790.2517   0.6197 
7790.4743   0.5915 
7790.6969   0.6669 
7790.9194   0.7283 
7791.1420   0.7215 
7791.3647   0.6367 
7791.5873   0.5671 
7791.8099   0.5965 
7792.0326   0.6498 
7792.2551   0.6840 
7792.4778   0.6970 
7792.7005   0.6359 
7792.9230   0.6329 
7793.1459   0.6535 
7793.3684   0.7172 
7793.5911   0.7288 
7793.8138   0.7034 
7794.0363   0.7014 
7794.2591   0.6858 
7794.4819   0.6372 
7794.7046   0.5975 
7794.9271   0.6020 
7795.1499   0.6287 
7795.3727   0.6258 
7795.5955   0.6694 
7795.8182   0.7347 
7796.0409   0.7057 
7796.2635   0.6194 
7796.4863   0.6552 
7796.7090   0.6852 
7796.9318   0.7055 
7797.1546   0.7038 
7797.3774   0.6242 
7797.6002   0.5432 
7797.8229   0.6327 
7798.0457   0.7185 
7798.2685   0.6879 
7798.4915   0.6555 
7798.7144   0.6932 
7798.9371   0.6914 
7799.1599   0.6572 
7799.3827   0.6908 
7799.6055   0.7118 
7799.8285   0.6573 
7800.0513   0.6005 
7800.2741   0.5302 
7800.4970   0.5841 
7800.7200   0.6398 
7800.9427   0.6633 
7801.1656   0.7039 
7801.3886   0.6648 
7801.6114   0.7092 
7801.8344   0.7748 
7802.0573   0.7715 
7802.2801   0.6668 
7802.5031   0.5942 
7802.7261   0.6536 
7802.9490   0.7215 
7803.1719   0.7343 
7803.3949   0.6832 
7803.6179   0.6694 
7803.8407   0.7380 
7804.0638   0.7187 
7804.2868   0.6406 
7804.5097   0.6305 
7804.7328   0.6619 
7804.9558   0.7290 
7805.1787   0.7702 
7805.4017   0.7479 
7805.6247   0.7225 
7805.8478   0.7082 
7806.0709   0.6775 
7806.2937   0.6578 
7806.5168   0.6640 
7806.7399   0.7293 
7806.9629   0.7552 
7807.1860   0.7084 
7807.4091   0.6568 
7807.6321   0.6333 
7807.8552   0.6769 
7808.0783   0.7125 
7808.3014   0.7074 
7808.5246   0.6505 
7808.7476   0.6775 
7808.9707   0.7468 
7809.1939   0.7601 
7809.4169   0.7463 
7809.6401   0.7288 
7809.8632   0.6983 
7810.0863   0.7257 
7810.3095   0.6989 
7810.5326   0.6966 
7810.7559   0.7058 
7810.9790   0.6749 
7811.2022   0.6233 
7811.4253   0.6701 
7811.6484   0.7721 
7811.8718   0.7870 
7812.0949   0.6932 
7812.3181   0.6685 
7812.5413   0.7347 
7812.7645   0.7659 
7812.9878   0.7291 
7813.2109   0.7341 
7813.4343   0.7634 
7813.6574   0.7486 
7813.8809   0.6931 
7814.1040   0.7010 
7814.3273   0.7137 
7814.5505   0.6972 
7814.7738   0.6640 
7814.9971   0.6583 
7815.2204   0.7563 
7815.4437   0.8204 
7815.6669   0.7874 
7815.8903   0.7467 
7816.1136   0.7682 
7816.3370   0.7493 
7816.5602   0.6937 
7816.7836   0.6474 
7817.0069   0.6587 
7817.2302   0.6766 
7817.4536   0.7163 
7817.6770   0.7730 
7817.9004   0.7750 
7818.1237   0.7622 
7818.3470   0.7518 
7818.5704   0.6792 
7818.7938   0.6732 
7819.0172   0.7705 
7819.2407   0.7420 
7819.4641   0.7096 
7819.6875   0.7624 
7819.9109   0.7261 
7820.1343   0.6576 
7820.3578   0.6641 
7820.5811   0.6716 
7820.8047   0.6534 
7821.0281   0.6430 
7821.2516   0.6697 
7821.4750   0.6972 
7821.6986   0.6960 
7821.9220   0.6816 
7822.1455   0.7184 
7822.3689   0.7815 
7822.5925   0.7556 
7822.8160   0.6588 
7823.0395   0.6107 
7823.2630   0.6322 
7823.4865   0.7129 
7823.7101   0.7709 
7823.9337   0.7559 
7824.1572   0.7178 
7824.3807   0.7099 
7824.6042   0.7012 
7824.8278   0.6792 
